 INFO 2014-07-16 15:58:18,621 [main] (ContentManagement.java:6005) - Verify the form and enter the data in container
 INFO 2014-07-16 15:58:31,553 [main] (ContentManagement.java:6210) - Verification of all the form fields and Entering data is successful
 INFO 2014-07-16 15:58:31,553 [main] (ContentManagement.java:6211) - Click on SAVE button
 INFO 2014-07-16 15:58:37,877 [main] (ContentManagement.java:6279) - Content data saved successfully
 INFO 2014-07-16 15:59:00,699 [main] (ContentManagement.java:6427) - Verify if User is on [Create New Schema] page
ERROR 2014-07-16 15:59:00,722 [main] (SeleniumUtils.java:163) - Assertion error
 INFO 2014-07-16 15:59:00,722 [main] (ContentManagement.java:6443) - User is not on [Create New Schema] page
 INFO 2014-07-16 15:59:00,723 [main] (ContentManagement.java:6444) - Navigate to [Schemas] tab
 INFO 2014-07-16 15:59:18,238 [main] (ContentManagement.java:6573) - User is on [Create New Schema] tab
 INFO 2014-07-16 15:59:18,238 [main] (ContentManagement.java:6574) - Create new Complex Schema 
 INFO 2014-07-16 15:59:18,761 [main] (ContentManagement.java:6706) - Click on ADD ATTRIBUTE button
 INFO 2014-07-16 15:59:24,011 [main] (ContentManagement.java:6727) - Click operation on 'ADD ATTRIBUTE' button is successful. Enter data in 'Key' and 'Val' fields
 INFO 2014-07-16 15:59:24,498 [main] (ContentManagement.java:6766) - Click on 'ADD FIELD' button
 INFO 2014-07-16 15:59:30,320 [main] (ContentManagement.java:6779) - Click operation on 'ADD FIELD' button is successful
 INFO 2014-07-16 15:59:44,447 [main] (ContentManagement.java:7208) - Verify if user is on [STRUCTURE:CONTAINERS] tab
ERROR 2014-07-16 15:59:46,495 [main] (SeleniumUtils.java:163) - Assertion error
 INFO 2014-07-16 15:59:46,495 [main] (ContentManagement.java:7225) - User is not on [STRUCTURE:CONTAINERS] tab 
 INFO 2014-07-16 15:59:46,495 [main] (ContentManagement.java:7226) - Click on [Structure] sub tab
 INFO 2014-07-16 15:59:54,122 [main] (ContentManagement.java:7260) - Click operation on [STRUCTURE] tab is successful. Verify User is on [STRUCTURE:CONTAINERS] page
 INFO 2014-07-16 15:59:54,173 [main] (ContentManagement.java:7301) - User is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 15:59:54,173 [main] (ContentManagement.java:7302) - Click on 'NEW CONTAINER' button
 INFO 2014-07-16 16:00:00,375 [main] (ContentManagement.java:7324) - Verify 'Name' field 'SAVE' & 'CANCEL' buttons are displayed
 INFO 2014-07-16 16:00:00,454 [main] (ContentManagement.java:7398) - 'Name' field 'SAVE' & 'CANCEL' buttons are displayed successfully 
 INFO 2014-07-16 16:00:00,456 [main] (ContentManagement.java:7399) - Create [Office List] container
 INFO 2014-07-16 16:00:07,887 [main] (ContentManagement.java:7425) - Verify if the Success message displyaed 
 INFO 2014-07-16 16:00:10,776 [main] (ContentManagement.java:7463) - New Container Success message displayed successfully
 INFO 2014-07-16 16:00:10,776 [main] (ContentManagement.java:7464) - Verify if the container [Office List] displayed in Containers list
 INFO 2014-07-16 16:00:10,878 [main] (ContentManagement.java:7500) - [Office List] displyaed in Containers list
 INFO 2014-07-16 16:00:10,878 [main] (ContentManagement.java:7502) - Click on [Office List] container
 INFO 2014-07-16 16:00:16,527 [main] (ContentManagement.java:7550) - Click operation successful on container [Office List]
 INFO 2014-07-16 16:00:16,537 [main] (ContentManagement.java:7569) - Click on 'NEW ITEM' button for container
 INFO 2014-07-16 16:00:20,704 [main] (ContentManagement.java:7573) - Click operation is successful on 'NEW ITEM'. Verify 'Name', 'Field', 'Type' & 'Schema' fields
 INFO 2014-07-16 16:00:20,868 [main] (ContentManagement.java:7787) - Verification of 'Name', 'Type', 'Field' & 'Schema' fields are successful
 INFO 2014-07-16 16:00:20,868 [main] (ContentManagement.java:7788) - Verify 'CANCEL' & 'SAVE' buttons
 INFO 2014-07-16 16:00:20,876 [main] (ContentManagement.java:7806) - Verification of 'CANCEL' & 'SAVE' buttons successful
 INFO 2014-07-16 16:00:20,876 [main] (ContentManagement.java:7807) - Validate the 'NEW ITEM' form
 INFO 2014-07-16 16:00:34,256 [main] (ContentManagement.java:7980) - Verify if the container [Offices] displayed in Containers list
 INFO 2014-07-16 16:00:36,875 [main] (ContentManagement.java:8003) - container [Offices] is present in containers list
 INFO 2014-07-16 16:00:43,924 [main] (ContentManagement.java:8043) - Verify if user is on [Content] sub tab in [Content Management] tab
ERROR 2014-07-16 16:00:45,974 [main] (SeleniumUtils.java:163) - Assertion error
 INFO 2014-07-16 16:00:54,928 [main] (ContentManagement.java:8130) - User is on [Content] sub tab in [Content Management] tab
 INFO 2014-07-16 16:00:54,928 [main] (ContentManagement.java:8131) - Click on container [Office List] in container list
 INFO 2014-07-16 16:01:14,924 [main] (ContentManagement.java:8255) - Verify the form and enter the data in container
ERROR 2014-07-16 16:01:23,382 [main] (SeleniumUtils.java:143) - Unable to identify the element with id xpath and value //body[@class='cke_editable cke_editable_themed cke_contents_ltr']/p
ERROR 2014-07-16 16:01:23,383 [main] (ContentManagement.java:8418) - Unable to identify third label texbox element
ERROR 2014-07-16 16:01:23,718 [main] (SeleniumUtils.java:350) - java.lang.NullPointerException
ERROR 2014-07-16 16:01:25,719 [main] (SeleniumUtils.java:266) - Error while typing the textjava.lang.NullPointerException
ERROR 2014-07-16 16:01:25,758 [main] (SeleniumUtils.java:163) - Assertion error
ERROR 2014-07-16 16:01:25,758 [main] (ContentManagement.java:8449) - Validation failed at Bold functionality
ERROR 2014-07-16 16:01:31,104 [main] (SeleniumUtils.java:143) - Unable to identify the element with id xpath and value //body[@class='cke_editable cke_editable_themed cke_contents_ltr']/p
ERROR 2014-07-16 16:01:31,104 [main] (ContentManagement.java:8480) - Unable to identify third label texbox element
ERROR 2014-07-16 16:01:31,340 [main] (SeleniumUtils.java:900) - Unable to perform select operation on given text
 INFO 2014-07-16 16:01:38,966 [main] (ContentManagement.java:8599) - Verification of all the form fields and Entering data is successful
 INFO 2014-07-16 16:01:38,966 [main] (ContentManagement.java:8600) - Click on SAVE button
 INFO 2014-07-16 16:01:47,882 [main] (ContentManagement.java:8668) - Content data saved successfully
 INFO 2014-07-16 16:02:07,978 [main] (ContentManagement.java:8815) - Starting [deleteTestData] execution
 INFO 2014-07-16 16:02:07,978 [main] (ContentManagement.java:8817) - Verify if User is on [Schemas] page
ERROR 2014-07-16 16:02:08,016 [main] (SeleniumUtils.java:163) - Assertion error
 INFO 2014-07-16 16:02:08,016 [main] (ContentManagement.java:8833) - User is not on [Schemas] tab
 INFO 2014-07-16 16:02:15,518 [main] (ContentManagement.java:8906) - User is on [Schemas] tab
 INFO 2014-07-16 16:02:15,518 [main] (ContentManagement.java:8907) - Verify if Schemas List present in [Schemas] tab
 INFO 2014-07-16 16:02:15,528 [main] (ContentManagement.java:8922) - Verification of Schemas List is successful. Schemas List is present in [Schemas] tab
 INFO 2014-07-16 16:02:15,528 [main] (ContentManagement.java:8924) - Verify [Company] schema present in the Schemas List
 INFO 2014-07-16 16:02:20,563 [main] (ContentManagement.java:8957) - [Company] schema present in the Schemas List
 INFO 2014-07-16 16:02:36,058 [main] (ContentManagement.java:8991) - Verify if user is on [STRUCTURE:CONTAINERS] tab
ERROR 2014-07-16 16:02:38,118 [main] (SeleniumUtils.java:163) - Assertion error
 INFO 2014-07-16 16:02:38,119 [main] (ContentManagement.java:9008) - User is not on [STRUCTURE:CONTAINERS] tab 
 INFO 2014-07-16 16:02:38,119 [main] (ContentManagement.java:9009) - Click on [Structure] sub tab
 INFO 2014-07-16 16:02:46,391 [main] (ContentManagement.java:9042) - Click operation on [STRUCTURE] tab is successful. Verify User is on [STRUCTURE:CONTAINERS] page
 INFO 2014-07-16 16:02:46,457 [main] (ContentManagement.java:9082) - User is on [STRUCTURE:CONTAINERS] tab
 INFO 2014-07-16 16:02:46,457 [main] (ContentManagement.java:9083) - Verify if the container [Companies List] displayed in Containers list
 INFO 2014-07-16 16:02:46,641 [main] (ContentManagement.java:9118) - [Companies List] displyaed in Containers list
 INFO 2014-07-16 16:02:46,642 [main] (ContentManagement.java:9120) - Edit the container [Companies List]
 INFO 2014-07-16 16:02:46,988 [main] (ContentManagement.java:9135) - Click operation successful on Edit link of a container [Companies List] 
 INFO 2014-07-16 16:02:56,716 [main] (ContentManagement.java:9182) - Starting [logOut] execution
 INFO 2014-07-16 16:02:56,716 [main] (ContentManagement.java:9183) - Navigating to [Accounts] page
 INFO 2014-07-16 16:03:06,582 [main] (ContentManagement.java:9219) - Click on Sign Out button
 INFO 2014-07-16 16:03:13,955 [main] (ContentManagement.java:9267) - Closing the browser
 INFO 2014-07-16 16:30:11,715 [main] (Suite.java:42) - Starting the execution
 INFO 2014-07-16 16:30:11,717 [main] (Suite.java:43) - reading [config] file
 INFO 2014-07-16 16:30:12,133 [main] (Suite.java:64) - reading [config] file successful
 INFO 2014-07-16 16:30:12,219 [main] (Suite.java:85) - reading [ParentSuite] input file
 INFO 2014-07-16 16:30:12,236 [main] (Suite.java:107) - reading [ParentSuite] input file is successful
 INFO 2014-07-16 16:30:12,241 [main] (Suite.java:108) - The Test suites for execution..[login, phunwareClients, analytics, alertsAndnotifications, contentmanagement, advertising, location, commonscenarios]
 INFO 2014-07-16 16:30:12,267 [main] (ContentManagement.java:74) - reading ContentManagement Input file
 INFO 2014-07-16 16:30:12,284 [main] (ContentManagement.java:97) - reading [ContentManagement] Input file successful
 INFO 2014-07-16 16:30:12,284 [main] (ContentManagement.java:98) -  {[loginAs, verifyContentLayout, createSchemaWithMultiLineHtml]} for execution in [ContentManagement] suite
 INFO 2014-07-16 16:30:17,880 [main] (Suite.java:42) - Starting the execution
 INFO 2014-07-16 16:30:17,885 [main] (Suite.java:43) - reading [config] file
 INFO 2014-07-16 16:30:18,233 [main] (Suite.java:64) - reading [config] file successful
 INFO 2014-07-16 16:30:18,333 [main] (Suite.java:85) - reading [ParentSuite] input file
 INFO 2014-07-16 16:30:18,344 [main] (Suite.java:107) - reading [ParentSuite] input file is successful
 INFO 2014-07-16 16:30:18,344 [main] (Suite.java:108) - The Test suites for execution..[login, phunwareClients, analytics, alertsAndnotifications, contentmanagement, advertising, location, commonscenarios]
 INFO 2014-07-16 16:30:18,358 [main] (ContentManagement.java:74) - reading ContentManagement Input file
 INFO 2014-07-16 16:30:18,382 [main] (ContentManagement.java:97) - reading [ContentManagement] Input file successful
 INFO 2014-07-16 16:30:18,382 [main] (ContentManagement.java:98) -  {[loginAs, verifyContentLayout, createSchemaWithMultiLineHtml]} for execution in [ContentManagement] suite
 INFO 2014-07-16 16:30:18,412 [main] (ContentManagement.java:134) - opening [FIREFOX] browser
 INFO 2014-07-16 16:30:32,135 [main] (Suite.java:42) - Starting the execution
